Order,SummitCode,Name,Lat,Long,ChaseCount,FirstChaseDate,,,,,
1,W7W/MC-023,Tahtlum Peak,46.8644,-121.4774,1,2023-07-22,,,,,
2,W7W/KG-007,Mount Thomson,47.4723,-121.3606,1,2023-07-30,,179257,summitslist.A$179257,summitslist.H$179257,summitslist.I$179257
3,VE7/CL-020,Partridge Hills,48.5553,-123.485,1,2023-08-06,,,,,
4,W7W/KG-132,Wilderness Peak,47.5201,-122.0933,2,2023-08-12,,,,,
5,W7W/KG-037,Granite Mountain,47.4177,-121.4814,2,2023-08-13,,,,,
6,W7W/KG-063,Tinkham Peak West,47.3492,-121.4546,2,2023-08-20,,,,,
7,W7W/KG-137,North Grand Ridge,47.5495,-121.9624,1,2023-08-27,,,,,
8,VE7/CL-014,Sugarloaf,48.4153,-123.6028,1,2023-08-28,,,,,
9,W7W/KG-122,Squak Mountain,47.5042,-122.047,8,2023-10-07,,,,,
10,W7W/LC-020,Steamboat Mountain,46.1383,-121.728,1,2023-10-08,,,,,
11,W7O/WV-043,Githens Mountain,45.2524,-122.0639,2,2023-10-08,,,,,
12,W7W/KG-095,Mount Teneriffe,47.509,-121.6951,5,2023-10-13,,,,,
13,W7W/KG-015,Snoqualmie Mountain,47.4587,-121.4165,4,2023-10-21,,,,,
14,W7W/CW-060,5380 ReJoyce Peak,47.1319,-121.2521,4,2023-10-21,,,,,
15,W7W/CW-045,Blowout Mountain,47.1398,-121.3029,2,2023-10-22,,,,,
16,W7W/KG-043,Mount Defiance,47.4352,-121.5642,4,2023-10-27,,,,,
17,W7W/CW-052,Silver Peak,47.3615,-121.4613,1,2023-10-30,,,,,
18,W7W/SN-167,Baby Blue,47.9398,-121.7413,2,2023-10-30,,,,,
19,W7W/KG-115,Tiger Mountain,47.4884,-121.9468,1,2024-01-07,,,,,
20,W7W/KG-116,West Tiger Mountain,47.5036,-121.9756,5,2024-01-14,,,,,
21,W7W/CW-065,Snowshoe Butte,47.2271,-121.3657,2,2024-03-30,,,,,
22,W7W/RS-053,Poch Peak,46.9514,-121.9313,3,2024-04-26,,,,,
23,W7W/KG-080,McClellan Butte,47.4068,-121.6223,4,2024-05-16,,,,,
24,W7W/SN-174,Young Love,47.7967,-121.8126,7,2024-05-25,,,,,
25,W7W/KG-121,South Tiger Mountain,47.4617,-121.9612,3,2024-05-26,,,,,
26,W7W/RS-074,Green Mountain,47.5615,-122.8084,1,2024-05-28,,,,,
27,W7W/SK-134,Lyman Hill,48.5947,-122.1589,1,2024-06-08,,,,,
28,W7W/CH-206,5221 Twin Lead Mtn,47.6861,-120.4879,2,2024-06-08,,,,,
